asset_id,type,title,topic_category,duration_mins,content_embedding
2ec20776-234a-448e-83a6-6daa119b91d5,Article,The Ultimate Grilling Guide (Vol 2),Nutrition Tips,12.8,"[0.4302346920229356, 0.05082366952672668, 0.7081703625416563, 0.5085578700642651, 0.39317521465837757, 0.11067189434681379, 0.5201758025978451, 0.2132352874388117, 0.8551706660431577, 0.8804288503435241, 0.8170480189544219, 0.6582237625750084, 0.5946170630813107, 0.3325302622293913, 0.017626434229783827, 0.5683764757013213, 0.7887838367026341, 0.31274402828915315, 0.8417784276939924, 0.7042861982360854, 0.28846327514676695, 0.35573069126740475, 0.2605850195764755, 0.9923496237296362, 0.40696545166879516, 0.18678265182160636, 0.9836073397275057, 0.740472987359673, 0.6987720186682497, 0.6521469953309893, 0.1419071801615498, 0.6078645299349037, 0.13602329579616612, 0.06515763583255463, 0.028355289329501487, 0.809623636624925, 0.5179559149376605, 0.6784830303547629, 0.7626427233462217, 0.4625717825850032, 0.6884168671686755, 0.0031855820504680388, 0.5590571136776066, 0.5717227715921268, 0.7878237556563003, 0.054190829850300104, 0.9288745506519218, 0.1820668174159199, 0.11127135389779652, 0.1330371911841689, 0.3573478648300932, 0.5565465883290612, 0.1280596297444493, 0.8581628547268835, 0.01556577094340128, 0.5021100623184067, 0.8761727867647711, 0.5580116987045528, 0.8398308563384691, 0.2992548199831494, 0.1760481613832079, 0.0048744595224506915, 0.2649947373463113, 0.1055158719823488, 0.39556637699541175, 0.3982363365788072, 0.7596024415494251, 0.6195316841612283, 0.8202862832494593, 0.5968196167232355, 0.12049998938925233, 0.03802280898834898, 0.6438465981918201, 0.39689019169765805, 0.894542312831179, 0.2679083091640774, 0.7460905044178557, 0.27160903672977443, 0.018879623831946968, 0.8558026033025898, 0.4249521331433951, 0.5032555521905256, 0.44520330278168196, 0.29964144962715955, 0.32204228011300484, 0.09274136202684935, 0.07834553932225274, 0.7552361211004004, 0.8201340737582751, 0.29733910742451686, 0.4718860274237012, 0.7760698547798096, 0.11244231260890036, 0.7609274623455948, 0.8121850538808981, 0.9900665264043738, 0.5362046925402447, 0.7335475813948666, 0.10666877848788969, 0.46005816667751653, 0.5552989034350132, 0.887498388471515, 0.24092168436841654, 0.40647121926160024, 0.4701940673202615, 0.10285465872793653, 0.2463760335824069, 0.07958205121398243, 0.751114211772685, 0.9397310259839026, 0.8563931422811626, 0.9014691643638659, 0.4447116795854421, 0.4390240913515008, 0.5304272857226137, 0.9743535717702311, 0.9285501747205661, 0.027698390969430164, 0.33491391463393505, 0.282565782881102, 0.7794048019168666, 0.20379812283307897, 0.006237168427620676, 0.78999301757821, 0.06954520741418246, 0.3540198121769643, 0.8743738072511049, 0.7669239739820956]"
fc53ef67-8073-4424-9fa0-581d940ea416,Video,The Ultimate Grilling Guide (Vol 1),Family Life,3.2,"[0.3786549403410212, 0.9928845474521301, 0.5039552671998153, 0.8647918158872552, 0.721614998739429, 0.9702354399175329, 0.36708236246584625, 0.4400864621413947, 0.4582899682912853, 0.6856013979868011, 0.7330296373913336, 0.7081193012929822, 0.46739799216590483, 0.3955449846119029, 0.38494073459574984, 0.9017922799229452, 0.4702957383407621, 0.8165208720067061, 0.5260751126932013, 0.9357446159915319, 0.04340317728732168, 0.10616517190311525, 0.32304956699772003, 0.8682148883511952, 0.5262487211583594, 0.16238475680311493, 0.5196635945285861, 0.7144098943400863, 0.993244075989862, 0.7851069614813442, 0.16214015250575453, 0.8344650817009637, 0.5116141501160325, 0.12961557497966725, 0.44633094135065954, 0.38223517193985534, 0.2764949517930234, 0.5023423521985495, 0.5465517801732424, 0.1628684987033, 0.18141621021628718, 0.30037730384362615, 0.24172585328289586, 0.9612438487994612, 0.13817995135350047, 0.920268013619228, 0.5710853428027952, 0.9259982786333546, 0.8079985408950415, 0.8083469614546073, 0.8303003619199358, 0.3698775739187784, 0.7808017300192792, 0.17150696790062414, 0.1644647427305379, 0.4377638246736464, 0.9267992769043835, 0.3580269589386543, 0.20082286132114502, 0.9152659990179767, 0.47968074766498636, 0.472174920187441, 0.9131286861130984, 0.18686891016258167, 0.01725396918337141, 0.23334470215268965, 0.7202000930176734, 0.3931882328726589, 0.14118121283903962, 0.4225015697141683, 0.25236717934889796, 0.5868627696500566, 0.4254107991478614, 0.9254085010525323, 0.828664074379569, 0.9448683744318559, 0.7490635579060035, 0.16884329254839092, 0.6393275348373295, 0.7447284189181167, 0.6606990840691248, 0.23052127996521732, 0.6249308483250996, 0.25159336928292786, 0.819455724956596, 0.6897566499649237, 0.5846577380942733, 0.6112199330653627, 0.16045302708531983, 0.786615320133572, 0.6831601786870438, 0.412215675091935, 0.13275965719226124, 0.8956713609519958, 0.9176937520576625, 0.1821397456181627, 0.6398067849229836, 0.8445291498840615, 0.36129576008135766, 0.4118723984238014, 0.2052188378890316, 0.5177387017666161, 0.78486953507908, 0.8760977353367753, 0.811154087885625, 0.9225587562425372, 0.472200153568326, 0.1851347462376709, 0.7106991948757181, 0.8517072651648949, 0.9311806081579552, 0.4225322442323287, 0.6241900188890986, 0.5130653229789992, 0.32707454825568916, 0.26839433168622606, 0.27426025122930964, 0.5644170672725366, 0.8778710021472904, 0.4489039136271151, 0.4565635831687882, 0.8288446640710938, 0.8488726490584719, 0.5975681286475127, 0.6777760442582517, 0.03991975253306801, 0.8952157162822731, 0.2633765965884485]"
72e2b618-33d6-4fea-b592-332de659d463,Article,Whole Milk vs Almond Milk: Which is Better? (Vol 6),Sustainability,9.8,"[0.5009532779919124, 0.03260146983300727, 0.5968796191655126, 0.981303201431076, 0.8078031292143177, 0.07261033137470208, 0.24056287241043073, 0.8577439576878956, 0.26086647212441205, 0.288331313194806, 0.5831566238347132, 0.11442672061358672, 0.484709468598545, 0.36445326498810493, 0.24057036898908402, 0.18343342313163202, 0.17318834741135436, 0.6180292584596894, 0.31055254814889144, 0.8754202237949381, 0.09192171919328396, 0.43325802905028443, 0.45464565086261743, 0.6174142888374999, 0.5235033821037869, 0.06027381657900277, 0.41483661469577393, 0.8050433457590148, 0.5066533805835627, 0.9644115798621528, 0.6598397106299468, 0.931406123076632, 0.8713432289840154, 0.9616939266416022, 0.8999022349785949, 0.3540173353872478, 0.6800607212373235, 0.7338439042959202, 0.8923328216676178, 0.09643025617281997, 0.9074299640074743, 0.3132210299950454, 0.0007162947049433877, 0.13444307823626866, 0.9179219262193897, 0.3046604920237387, 0.3625973803402265, 0.5991477304490959, 0.36232552433556, 0.29893874744300086, 0.6693074547039118, 0.2855747924954066, 0.4993378856366507, 0.08971846458843691, 0.05930425394927141, 0.35759893145280075, 0.08857026175444949, 0.3270015076658648, 0.5180282896581144, 0.38642818244226074, 0.9077659277235864, 0.5557604593640562, 0.879075144135339, 0.9096007153323443, 0.6803188864715695, 0.1562080787709279, 0.9651690001744555, 0.9680856277765574, 0.4464394775739342, 0.7980401342341544, 0.9231015995414905, 0.8042103542950702, 0.49546873908339095, 0.6739011023918384, 0.15333254004400088, 0.5210255162520016, 0.22003206900406025, 0.9948323812152332, 0.5193466731400763, 0.03929819391978395, 0.3288779650271143, 0.32078923277581184, 0.9234888539489255, 0.37100875155141544, 0.36708437998978904, 0.13738541706516816, 0.5522695111151003, 0.2458076814067368, 0.2364304409611372, 0.42462906512111587, 0.48115142900565666, 0.6236093742015654, 0.820108005311848, 0.750212655466443, 0.3768673668313657, 0.5221744013712022, 0.13753025326860824, 0.7435199760982012, 0.7907918574628309, 0.8924440565770464, 0.6981627745316487, 0.5240004223372113, 0.7172008666331353, 0.1144818210914329, 0.8649971590613388, 0.11904114057561577, 0.030255306741647336, 0.4541676434839548, 0.8889571194666211, 0.7572112701939759, 0.009953044728261307, 0.3020799389041162, 0.9900404115889767, 0.4120386168197141, 0.33023637309327714, 0.8789069857418232, 0.4730694921623033, 0.24607234732034244, 0.12260262895250718, 0.5888034200557553, 0.21754712484011562, 0.8962261242962536, 0.3781160701145818, 0.6397152659635473, 0.6293832589173911, 0.8575537477240784, 0.701597697700859, 0.23210041052601282]"
e18a6475-9f83-4074-98a6-6e29bae9ee31,Article,Baking Basics: Flour and Sugar (Vol 3),Nutrition Tips,3.0,"[0.06312986649313213, 0.09893367323805524, 0.6728927044370543, 0.5197952211024167, 0.2628265966203478, 0.20827913561682, 0.6590747700769323, 0.20947484359263135, 0.47184960863285574, 0.5580917775128454, 0.5092564988972521, 0.17322644253131347, 0.34425016065283454, 0.8905430183597952, 0.21803580284140767, 0.86110338431818, 0.020931136282108742, 0.9334268743343057, 0.45263921921905714, 0.02234309231092002, 0.16875075947052376, 0.828538713444883, 0.1495231115207285, 0.561180609863544, 0.010843907560708743, 0.8344097014209555, 0.6296990425335266, 0.6120375560811083, 0.09288487820735247, 0.06971290733315594, 0.8935516048286589, 0.5100382072758562, 0.9897770971220136, 0.03323027622701891, 0.9047137605375759, 0.8558700316798751, 0.7219232521658024, 0.654643077186482, 0.8839694630672107, 0.22282384804830424, 0.4202909261769221, 0.5957921176125818, 0.735745801131739, 0.2964592429010874, 0.7216827130429074, 0.19644839721665275, 0.18199477602131853, 0.520854888345138, 0.35760945993025506, 0.8920298016186788, 0.6941294840344893, 0.9601593941995943, 0.8133476682988788, 0.11373421180128018, 0.07076603129482617, 0.2450039465921806, 0.5615991784827546, 0.6668155209304012, 0.27627690123424287, 0.49363541312995474, 0.08454618524207269, 0.5029324835227094, 0.4587531183865263, 0.40829636861227103, 0.2740441632592683, 0.875333743469975, 0.11162573091574035, 0.9673326508921746, 0.610003363311908, 0.699272031662249, 0.6089839984205784, 0.610906919522166, 0.4712835171549964, 0.43050692952203684, 0.9395047154076647, 0.6701771120959095, 0.4424451480256868, 0.9585936952698986, 0.7279996350434514, 0.2088886295278788, 0.4115348406477142, 0.5017321915453407, 0.1984360865311554, 0.03968319703643375, 0.14834420521193825, 0.9125966843012568, 0.9782498139119916, 0.7514311986976989, 0.6921885303319405, 0.3216110731560804, 0.9851598225564697, 0.39472937968076227, 0.8709817672872282, 0.9655288902796004, 0.5290850106435339, 0.8805422580373466, 0.9245715259474618, 0.5257644683651108, 0.6616070021635305, 0.8807211930211052, 0.577862955374475, 0.16162736123397559, 0.278190121784321, 0.9011345433515217, 0.8806843765619489, 0.7212003357848722, 0.3288249559579606, 0.3299891142382577, 0.8525962421770499, 0.4727543571260522, 0.7072724504628342, 0.5250442359423023, 0.8622459506134765, 0.41083282580452196, 0.4409357901771018, 0.24922889737388199, 0.16105113320844777, 0.8599618279880096, 0.7718257582777232, 0.458660662337665, 0.7229408678665729, 0.2452759304249874, 0.2227102166672792, 0.9630599915551779, 0.5923844642750049, 0.584028348033949, 0.5197577177364315, 0.6723640077449232]"
485ba548-bfe7-4482-82be-f46e613250e5,Article,How to Pick the Freshest Seafood (Vol 9),Recipe,14.0,"[0.10565945590105486, 0.186520675858177, 0.10154645683107466, 0.3466638434384428, 0.9557726933882406, 0.13704111204479652, 0.24276479212309876, 0.8278548697790721, 0.8812568234392736, 0.7567408798909915, 0.41709583453236976, 0.5862452077827827, 0.9937277705416764, 0.2971025016803046, 0.30924242383447353, 0.5014678593329994, 0.3633907735835612, 0.12790104839965855, 0.30291047956559003, 0.39655354366128215, 0.7975264064816806, 0.312880286614863, 0.8721370949479589, 0.4780906638007538, 0.6687459210069254, 0.646299513345964, 0.3626591848877768, 0.5247193024544581, 0.6000339899331855, 0.7758016831162503, 0.3659498623775951, 0.5982604740349474, 0.7468803286970946, 0.6248102025069933, 0.36752616196597887, 0.6619117397982459, 0.13380524345171696, 0.42467759815807915, 0.3856019423474497, 0.2447556494380152, 0.4748746131274363, 0.16221816693720337, 0.8430849183948077, 0.07718938858807556, 0.32254645512744773, 0.9975549960817581, 0.3826899395893587, 0.6007325869454296, 0.7184845382205247, 0.06270334344806172, 0.7513154224158354, 0.5241617087109153, 0.37567653543320434, 0.5061730385283586, 0.05072037559593334, 0.34642316646685045, 0.6176498434077232, 0.1717970576464789, 0.5229257735806602, 0.1429791267172379, 0.3614410888723567, 0.14211279239513774, 0.26966150045224335, 0.682095989998495, 0.2370406344441398, 0.5978001798478132, 0.9057457043295598, 0.9904548388150614, 0.7343241455865367, 0.06093353554791903, 0.21621069524019088, 0.07864608038123655, 0.04014776259802677, 0.3596658037916284, 0.3291393545536999, 0.8346032135504338, 0.055056967215803, 0.5851711429420714, 0.4381741301142771, 0.497432507311656, 0.23120959702387534, 0.3646183885446489, 0.8462356876787505, 0.6577646252167734, 0.8890762779028502, 0.7798716035369346, 0.5097962289580478, 0.42655775871099, 0.28907173344660764, 0.09416083097492489, 0.04136286256063515, 0.8338793228973074, 0.7425478326692277, 0.2476236127728264, 0.08611805631678016, 0.17865155348829542, 0.25519588195261067, 0.5803819142349822, 0.8538627350157008, 0.9763797681974109, 0.28114535824468057, 0.7214664491010979, 0.9058034316811066, 0.44153924963113156, 0.2631620551135636, 0.29114791357739345, 0.12407872692692967, 0.5370210893103998, 0.826199515321589, 0.564820463492354, 0.24593479480613545, 0.5316834909801967, 0.5768917096104328, 0.45310819029090954, 0.08957429113518289, 0.20007032715882667, 0.23611707041877472, 0.9694198791692296, 0.8823558751785725, 0.6567111972768459, 0.30362282151032927, 0.717358106388838, 0.23635436661876885, 0.5768128609031886, 0.8826684909492424, 0.1229540818060949, 0.36769765375741115, 0.21396876985993463]"
3b5b6530-cd28-4ccc-9f4a-9acc0cfd3c3a,Blog,How to Pick the Freshest Seafood (Vol 6),Sustainability,14.0,"[0.779586461664199, 0.9781602437832277, 0.24279125721178474, 0.9655438428149065, 0.3322033647581977, 0.5989760311634141, 0.18644188457392075, 0.6636884141954634, 0.6609814102120459, 0.6366646740335662, 0.020795153293991397, 0.5993189293363272, 0.5732986171435326, 0.9268028086623938, 0.18058371170736476, 0.875669404563598, 0.931337345069451, 0.6338216113808509, 0.5644052632827844, 0.22273699868014518, 0.6250271791235591, 0.4653869091711287, 0.25074883775412116, 0.8650430466115127, 0.8322228867773522, 0.9258506510835111, 0.5693999528570333, 0.5461803466820464, 0.5042691845908378, 0.8966279827987739, 0.7078535366425257, 0.4236593860424417, 0.37094775003640734, 0.35555979826947826, 0.7609366466682189, 0.06727605638347733, 0.7771358474773427, 0.4886247246851714, 0.6050495815774435, 0.5122065344233929, 0.36043867800201845, 0.5295710037451488, 0.8965601759158993, 0.38592452717009007, 0.8960286030401089, 0.822012327309104, 0.11812702090199623, 0.5670633173270587, 0.37737306018721717, 0.8816066063353452, 0.9452229929467848, 0.7104695362504945, 0.42650690050205553, 0.05696575491583944, 0.5549598059597772, 0.12528808663182922, 0.9173129209213771, 0.10691451692661158, 0.029913630752652964, 0.7555634477892279, 0.4745875425886503, 0.6092170567246009, 0.8804148198218168, 0.5314898799631541, 0.6092949121794359, 0.07731770148730577, 0.3982318659186297, 0.9484309196684407, 0.15156934641912012, 0.6626137931252652, 0.6321661092466827, 0.9840093002357008, 0.04107120195189817, 0.3035814693156649, 0.024206023989551628, 0.13544101166569555, 0.2297285671401128, 0.3621626920775406, 0.4135539188430791, 0.7416535081407688, 0.21556590209526127, 0.8602189057939186, 0.9953026355260721, 0.09001247232449616, 0.5126993830250234, 0.9470234096877705, 0.5492307625902034, 0.6535408676827029, 0.7841272517881944, 0.5301850078968489, 0.4461363425185486, 0.8503359626665048, 0.44882462540257095, 0.05831326762565303, 0.6942708853778908, 0.5360298613802574, 0.46360779957782716, 0.9171414508121174, 0.9049990952694018, 0.9678949266583786, 0.5634102792224649, 0.28265198491485655, 0.13665070579604843, 0.19665670277277503, 0.6461760759214105, 0.5055306507245698, 0.7502230955974885, 0.9043989133233976, 0.9951008238680936, 0.06514695677579341, 0.32639489182540227, 0.08920599907347604, 0.6265607908836782, 0.1709899317109611, 0.0925935504029386, 0.25422271991112566, 0.9834659129118768, 0.19433275234380032, 0.18877063177846187, 0.18320833294057748, 0.606295759554851, 0.8650420203610861, 0.11264918953903613, 0.4359410071367359, 0.534355321164693, 0.3172630628823413, 0.640221000174903, 0.7853196966729368]"
71315b3c-ba7c-46ea-b1a6-645f81630664,Blog,Healthy Alternatives to Soda (Vol 3),Nutrition Tips,15.0,"[0.9205976087170465, 0.9396386002469026, 0.6949712209911112, 0.540256758612782, 0.9335679399336726, 0.07604054438860319, 0.8309735835205958, 0.5869651646650953, 0.447752578507263, 0.9924995680853853, 0.8545292355576415, 0.24484274256044591, 0.5998579593544694, 0.6755444114802691, 0.5679783457573723, 0.21851998577353682, 0.976535052015339, 0.5781938992228821, 0.24750535840898413, 0.4922221965430458, 0.6145937396607329, 0.8286132404048895, 0.4527675213211122, 0.6048043318590934, 0.3799648404931516, 0.16784590894660056, 0.710776414634337, 0.9698227544900891, 0.5342733141645143, 0.03439849786829907, 0.2168286749292977, 0.31043349748495375, 0.7134640819067215, 0.6036437715061654, 0.6064972616469922, 0.8628345240793425, 0.30696169542469587, 0.24545222276671474, 0.6307229842440146, 0.5807462136108804, 0.4511469216168046, 0.8520845998957339, 0.41852164160303107, 0.9574542241215539, 0.56570363385818, 0.5858236322452528, 0.1846486962220707, 0.2527937780374586, 0.708435102927358, 0.13513279360052344, 0.7010736490617592, 0.5747187773036618, 0.0714051661993853, 0.5477595660960916, 0.7701479998489885, 0.46224446694130716, 0.0049914345456897324, 0.16222166327921583, 0.46836378918487354, 0.9515119929767747, 0.7228626859622236, 0.5846540527047007, 0.485521190113289, 0.44544904379408456, 0.409740013820297, 0.2809020814083465, 0.6620470780397971, 0.20382809771168187, 0.09534245833489308, 0.1394996195615983, 0.19734753664247218, 0.10871956980401598, 0.8542384863082895, 0.9234897056672023, 0.740766306371555, 0.3758731443094817, 0.18083960914893016, 0.4075045989704682, 0.5759863574263349, 0.011265296235407951, 0.36101245352057665, 0.7009190726455079, 0.15825652931112655, 0.6420256562661039, 0.9037087345310343, 0.4990260354692554, 0.08125282828997915, 0.16709313780045132, 0.8369530162790666, 0.2951776641826125, 0.4665524422273394, 0.09082591351973657, 0.9503969287522525, 0.8963680416278015, 0.1504253531745099, 0.8923946816327526, 0.7625272498179219, 0.8767832261134217, 0.8440440626427888, 0.6713192023678802, 0.6681363606400906, 0.34075418126163404, 0.03333544111371767, 0.9812598173724423, 0.19271184352133397, 0.7352528528670491, 0.5820086093847461, 0.3740537179468676, 0.0314805896272955, 0.041148196697705974, 0.963824315715718, 0.3952454012649457, 0.9490874054113893, 0.12520197139020695, 0.7643988005262801, 0.5394268265188088, 0.7447207426059977, 0.40104835402463934, 0.33728999002064075, 0.6983461690459464, 0.7793166023141094, 0.671493708940601, 0.57300511995406, 0.20240290191485877, 0.8808006009858426, 0.09130217105439598, 0.1931464342436513, 0.30352529799677364]"
58add021-ffc8-4498-b344-6f07f547a59f,Article,5 Quick Breakfast Ideas for Busy Mornings (Vol 10),Nutrition Tips,7.6,"[0.7156752208361882, 0.8777026346458007, 0.48922336296548874, 0.5240374473010845, 0.11637052373340262, 0.7139391111033674, 0.02872904026416434, 0.6003521879427082, 0.8457090947711374, 0.7484237480858571, 0.9916401693722215, 0.5629036648903512, 0.311391914145718, 0.1565960324446578, 0.3232092750543285, 0.6298164891799818, 0.7614375092117324, 0.48362027223263804, 0.46598343902469774, 0.7253461460012459, 0.5428010538724676, 0.28924042139838435, 0.1953304448584443, 0.4321429726581515, 0.12155006867253271, 0.6089069802863254, 0.04840121020845056, 0.9388140585530043, 0.9315506704905752, 0.8795386549204635, 0.025434797016101518, 0.14646345640730007, 0.6532716465931501, 0.5766610461762445, 0.32385714370628715, 0.14640236023672426, 0.9366534057157632, 0.3407491284885684, 0.6020873062315373, 0.9980580701233068, 0.9997019422564153, 0.8438987691627916, 0.8384334919062599, 0.4690180641547428, 0.9344883281524428, 0.11081213588038463, 0.6673462769332291, 0.8589740411304171, 0.9291855307954381, 0.5715138028170663, 0.48706812851704306, 0.5225447284362584, 0.42440338315867143, 0.8609458769361993, 0.3902880523659049, 0.47308858883030347, 0.14163394496124182, 0.627583784283724, 0.6381121281058405, 0.6421521874719339, 0.5601225467865645, 0.8531331893266153, 0.440234297413604, 0.04424074289125268, 0.9880454263509006, 0.17381853907305433, 0.34315290323130077, 0.43715486396999415, 0.6395712571460467, 0.8420828785465145, 0.16926495506983408, 0.6521999856189318, 0.7942281260453421, 0.3730170451142545, 0.6763672961960773, 0.8862529483613729, 0.012352547387158852, 0.8660140053230199, 0.022970768836116817, 0.3434673913355897, 0.6869760729884286, 0.22897327313284566, 0.5189161759544557, 0.24215651586861775, 0.945859491542433, 0.1493181917455183, 0.20709077894603511, 0.3531996311059993, 0.900821074788398, 0.9839064667687828, 0.7017643039884721, 0.7053201814229345, 0.6654448396774534, 0.5775271228771626, 0.9842741058615088, 0.5188460382459658, 0.5332303763732879, 0.40049175027129547, 0.06315632004697191, 0.26957978590375986, 0.7330014780252799, 0.5253749650513891, 0.38760008073215557, 0.9545427268993227, 0.49028069095071325, 0.8490775944339519, 0.37729139528184774, 0.32230499086381226, 0.32290813394352236, 0.10182501688128276, 0.888771924849165, 0.41794319443275685, 0.9798167670417749, 0.03771110601308836, 0.8370361890408748, 0.6425009113673678, 0.2661282568983818, 0.4066123699961828, 0.06438971795869264, 0.8161289754456498, 0.3568324396657825, 0.4468802273725486, 0.1865609050039323, 0.2737284564495892, 0.3764078756216539, 0.2691738719486714, 0.051256912905865204, 0.14334295635201288]"
08e1bfca-3e43-4fa6-91e3-1108109dab56,Article,How to Pick the Freshest Seafood (Vol 5),Family Life,12.2,"[0.1409987794483526, 0.6491716506988606, 0.5529330994872991, 0.582699837799418, 0.740225432999792, 0.8494426749552381, 0.30011795952232423, 0.24057351022220574, 0.058766636620539936, 0.5725568004386873, 0.4594379240780959, 0.880784887319906, 0.49814699995967815, 0.7100816049665648, 0.06473500131288557, 0.03953839333787035, 0.8315900499065724, 0.8387958492301245, 0.5663325281093735, 0.022502884009687918, 0.9570819970355702, 0.28954108499821585, 0.44186083375039453, 0.828272293566766, 0.10558307635552033, 0.7862922808312787, 0.4841075905510025, 0.8468390456628617, 0.6824673933678626, 0.33340493939000293, 0.006617548635841186, 0.2108078162478192, 0.949743294382364, 0.9562963794096182, 0.589317099909948, 0.42680833205446334, 0.44443260630064874, 0.34429352451998796, 0.24651732033774854, 0.7124572002253241, 0.26377505116766686, 0.7834248703838764, 0.026460657917049768, 0.99612694751746, 0.5354239406443597, 0.31980600819235616, 0.1507618451570366, 0.8333420252525314, 0.47789792401927356, 0.5399446253128929, 0.0800844147304175, 0.049285467812398176, 0.7251481108362781, 0.26701321819190715, 0.46884982792275764, 0.7499256162352927, 0.3215552978911558, 0.2047933738087696, 0.17662373819400368, 0.47208345548552644, 0.48781149575279414, 0.8007576753448481, 0.00789276040986564, 0.6566184737791465, 0.34339238032747055, 0.8334680316753308, 0.18922095979442988, 0.8498556565587478, 0.31189564238250456, 0.2650393675057967, 0.30877555831093284, 0.9820506482235377, 0.03248666336738959, 0.5205116575131873, 0.927061296042463, 0.7042126925807771, 0.7824380909176121, 0.33817150013872943, 0.06714311249510219, 0.00980986542032758, 0.5901529070611752, 0.38865058021851395, 0.7433576992768262, 0.9531018918470261, 0.742448744346952, 0.19610933968559063, 0.3867095512137655, 0.6022151081718288, 0.8964575878456182, 0.012382957752743562, 0.43606514156439113, 0.895546306596866, 0.7356344121277405, 0.07532693075928765, 0.3338553057297381, 0.4231811523693402, 0.056094849983085227, 0.5372933058027707, 0.4437761480334279, 0.5083115428962933, 0.5314742796085411, 0.42245443088084045, 0.10628230413483497, 0.9372119747065555, 0.02078715234398687, 0.2916081535343138, 0.4774092964997225, 0.402380434449365, 0.7894873408872892, 0.5258020950827308, 0.037683858999704056, 0.40647721858276675, 0.2381171533858547, 0.623720659805651, 0.08229717892296418, 0.1761224839396368, 0.11233978678700496, 0.7099108238619667, 0.4553072160945263, 0.4511597725666644, 0.2562865286126065, 0.3898394206450494, 0.7206008437906699, 0.13518088049696142, 0.714596901865118, 0.9720503004166584, 0.033173396492290896, 0.8581043157639547]"
a425a8be-5295-40b2-8692-0ea12fa1cb77,Blog,5 Quick Breakfast Ideas for Busy Mornings (Vol 4),Home Organization,6.0,"[0.08576090678580539, 0.6350340094767568, 0.4121932948403947, 0.7473345210554632, 0.184864126798434, 0.943306176727316, 0.7352256572509955, 0.8594173053203874, 0.7447953366922022, 0.7186676456131285, 0.3028348075908701, 0.6235681027903923, 0.762746520774632, 0.44774994434771587, 0.5621392824422843, 0.04211618802855477, 0.6421026084049746, 0.006170824161378152, 0.6214782511085452, 0.4984439184154422, 0.23981236804606, 0.9492473252559868, 0.8290578919240674, 0.6795709514069614, 0.12031159076071507, 0.4085486055105483, 0.1902115776851515, 0.5092279951693381, 0.09550943555469771, 0.22723491322141176, 0.2731173508240725, 0.08013850389311206, 0.062685190318986, 0.3617254182523849, 0.5920369965500245, 0.10161936464543175, 0.05086408168714185, 0.03552701804016534, 0.061897110664766664, 0.27796337545375005, 0.8502950177226265, 0.07629813297893606, 0.7621672454528304, 0.7477746840039814, 0.13446336040375872, 0.9711201111138473, 0.8969064785610407, 0.03328629503376124, 0.6732467420331242, 0.8454307850558149, 0.647961771645769, 0.2836959360132315, 0.9963335123657668, 0.6341118995809492, 0.5917227288382578, 0.6228544573105458, 0.5403965951648055, 0.30267565009680397, 0.018334288085985806, 0.7351022923697329, 0.9127865072945051, 0.13565641676086293, 0.7044078261171323, 0.3052701318246033, 0.5839715419964983, 0.1964432084674389, 0.7879317253714674, 0.1916851587407037, 0.7443771378205388, 0.5006624792362755, 0.3877305120668326, 0.30280412109986354, 0.051616625988320064, 0.8804426456195349, 0.3135310839036638, 0.21309916330884182, 0.33279465063459357, 0.8474087143713822, 0.9945468655359878, 0.5390757686357099, 0.2726423603574508, 0.9454868209725288, 0.49771930831568767, 0.9889893582804058, 0.08949040253833329, 0.05409243813646003, 0.8813511181921359, 0.2650028828803632, 0.43862460121475955, 0.3487592942871951, 0.1735698432554298, 0.3470156218678042, 0.7153462843127749, 0.18385550478964707, 0.8712264641936955, 0.34231389090408004, 0.3766585839836486, 0.2207791358984622, 0.4266856045958587, 0.13718711961863872, 0.44850470606001047, 0.07862770415702935, 0.6361483122818841, 0.043866664890791496, 0.9079472198382067, 0.16738005243323584, 0.8838095585243556, 0.3532580481178367, 0.9142428538503663, 0.6304430992354112, 0.4355043717416738, 0.33851538686041116, 0.11359979485328608, 0.6061215442567776, 0.18031348716486473, 0.27657747515194475, 0.2494615461329054, 0.6066283306995284, 0.2527038973959851, 0.3972456694824221, 0.948726173329572, 0.4131081297968422, 0.5095398461116759, 0.3418692725796749, 0.36626738338483633, 0.03719930049775255, 0.1325603111304191, 0.05171043836382283]"
