product_id,name,category,sub_category,price,margin,product_embedding
12e3fbe3-5387-41d3-b055-ed6b543f5f0f,Premium Hot Dogs,Meat & Seafood,Hot Dogs,8.62,0.25,"[0.9481720008677873, 0.2954441434442645, 0.442690169750553, 0.22082268316042897, 0.2052827698157108, 0.14024356149200046, 0.6258714133280886, 0.0685320492806808, 0.5587459284286177, 0.674882830960968, 0.33415295565455005, 0.15333698636005855, 0.045473104043575074, 0.45414534622548963, 0.4991893685267291, 0.2308567552718641, 0.007639852778826728, 0.33301066598774365, 0.3476291230770584, 0.28165187255251656, 0.06453361435528149, 0.765964620559365, 0.08258814055800812, 0.2187671409752091, 0.8283430991435691, 0.9543340470655964, 0.57640790076869, 0.32622689957422235, 0.10329861982136612, 0.05762493500335031, 0.5268234427580896, 0.740944269916546, 0.9449278153319397, 0.14424265328745856, 0.9142226572113904, 0.6917546435181966, 0.6180510017427393, 0.8820974579598908, 0.8823631601401362, 0.07900260939098325, 0.5427847841462974, 0.9148315927129512, 0.060212725146277735, 0.9171938348602151, 0.2460010686862223, 0.560582670331709, 0.16283763817627828, 0.6934980075694163, 0.03947052362007941, 0.6826152970509537, 0.32896082589104614, 0.47979773815814986, 0.29625371755609553, 0.591338993728244, 0.5606492451227935, 0.6979653258402395, 0.3207365425641624, 0.5861868064863432, 0.8534537539671544, 0.438706091881089, 0.3149999065105539, 0.8470538519582832, 0.802499368233901, 0.3001572145749294, 0.7108225707412902, 0.118058448939098, 0.8697892824225701, 0.25041579549961046, 0.27680293186337257, 0.6928267735082821, 0.3272536727538995, 0.3912999093068159, 0.023060101267263433, 0.34255290657515025, 0.985720383417801, 0.38066161052420355, 0.23219536005543384, 0.8102747526450701, 0.8283529189204839, 0.11546284473676671, 0.717632892624102, 0.7649934813788591, 0.4876418196537369, 0.6365074118480144, 0.4124235222805266, 0.927452274782954, 0.9218995449504657, 0.5920140802422937, 0.3073368523964045, 0.31638010881503265, 0.3685630421101118, 0.22203866964139707, 0.028370673540239144, 0.29231202204518847, 0.40214968633125425, 0.8248310022003731, 0.1753804175551067, 0.2556811078016942, 0.055241165163614436, 0.32461244165188674, 0.5671557715629287, 0.38092000213865773, 0.5946940431443284, 0.8260478915853604, 0.24901668386277753, 0.6632958035364698, 0.6524363044049013, 0.8689423032880359, 0.45835747457760145, 0.025180588451346853, 0.8970702631668456, 0.9193100956904251, 0.6261232943291792, 0.9682938237105253, 0.9352679835269354, 0.32716397784000184, 0.8888686924395691, 0.09126884969175375, 0.05716410954239315, 0.20346092766081147, 0.07520770198063487, 0.04663880280131261, 0.5478556605007455, 0.4234278323647539, 0.32528743219612055, 0.8450338444342991, 0.6480182316530273, 0.9532220605424399]"
24a56de7-f7f9-4a74-84ac-6ee7f5d63eeb,Premium Hand Lotion,Personal Care,Hand Lotion,19.69,0.07,"[0.35979319693853773, 0.53676607600267, 0.9645252077700508, 0.5022777711605712, 0.7505285644311409, 0.7035361997329376, 0.9973899691840197, 0.4719268264136215, 0.06921279721035689, 0.9821006377037158, 0.47978839667454243, 0.24256471764260923, 0.9305773370079131, 0.37450590862009736, 0.03817805608104463, 0.29350992985760394, 0.8282268018071164, 0.7251673865920201, 0.3752480067775281, 0.7150189001218333, 0.40949951468622225, 0.6291782778594142, 0.1763726560860016, 0.9187599412483941, 0.9989647213277068, 0.2829767746862206, 0.7004792954632802, 0.4576089446303975, 0.05646028728764296, 0.6999904576008253, 0.7036298316227267, 0.9321182697074201, 0.5862666654181526, 0.3624690301756527, 0.3892006837693375, 0.5003726862108479, 0.18291111667813775, 0.4847897013962592, 0.34145864179318675, 0.8880102445235966, 0.8467505415380386, 0.05291806145378575, 0.3956816137330248, 0.9037104175855601, 0.5356857227072633, 0.45917916472197307, 0.6244648100846615, 0.246699894604251, 0.23954985843933252, 0.5683863513276634, 0.7509253326505779, 0.08232669821270255, 0.5938271811238822, 0.8889548109882348, 0.525654244257241, 0.19270992098729545, 0.27310617321370156, 0.5411199331213733, 0.2385615683076031, 0.15813737307528752, 0.793238780305147, 0.7356991282158805, 0.615218940682499, 0.45100409650732376, 0.8581154297694393, 0.36055437337677865, 0.809040339644552, 0.17679645649650366, 0.9845227989724818, 0.8967505307476576, 0.24945598777797562, 0.13775639734124, 0.6660120326749323, 0.589439102591943, 0.6349303590718514, 0.5102772207362379, 0.3076022557530801, 0.17709427230004404, 0.4702892269034977, 0.2745099954416865, 0.7354041964392287, 0.6368092683107796, 0.8909755243769912, 0.2971014085821059, 0.8652414797433325, 0.767944868107745, 0.5900696446396955, 0.5696149399404992, 0.08342020489753554, 0.5885568278053898, 0.2684232352842274, 0.7116348296922909, 0.9887315838225197, 0.550053275221723, 0.5134486003828038, 0.043835200998946444, 0.6859506890809932, 0.8014832153122242, 0.009299177564004446, 0.2572070333762697, 0.45901389643602886, 0.752786178043464, 0.4338672070357793, 0.08017981373706162, 0.29636592891665603, 0.6289070028750215, 0.9227230789475062, 0.2649641713626413, 0.7826873879161617, 0.6506109141565513, 0.29108551140080174, 0.8811040468633804, 0.6991251020836412, 0.10345265837696793, 0.919144281404968, 0.5833770062484859, 0.3652247203905339, 0.6300906498488659, 0.04750520975492134, 0.7481684116044383, 0.8445853332247794, 0.025767966608437054, 0.5960825395474393, 0.9612971740096322, 0.4533109543684499, 0.34728017820677914, 0.5450831285234481, 0.1530303450153817]"
145417d2-0475-455c-bfdb-23ddc2020330,Fresh Ground Coffee,Beverages,Ground Coffee,17.99,0.08,"[0.6203971096015186, 0.1497461229373459, 0.7513574369948001, 0.12355475621492262, 0.596713713431608, 0.7581087607727433, 0.517227972703784, 0.12133439189437856, 0.17015889940252082, 0.45992235427754835, 0.7529384952129038, 0.9920725750157665, 0.45180647814254493, 0.7621856934772149, 0.10172871084650892, 0.2450580109718027, 0.8171466841866083, 0.2039837139540791, 0.5459904943056324, 0.27483999868318043, 0.6394927478842044, 0.8664551353612091, 0.7819097773855365, 0.8929853784527622, 0.27602544684679575, 0.2884587151945014, 0.6430868359422844, 0.007581025070897862, 0.20513407014060758, 0.06401048791994357, 0.4385412571534212, 0.47714614256064325, 0.04283006437579284, 0.8480012726195123, 0.3161520646440793, 0.9678194559201486, 0.24379093812789054, 0.495261684708985, 0.2979811269090237, 0.6698004181751082, 0.6676186641183368, 0.22734962180024554, 0.09864072153960668, 0.47459925832108596, 0.28656357551679246, 0.29883506722916775, 0.2059588178761519, 0.3565460739854249, 0.44949335798094636, 0.01990242757534666, 0.17320901363661367, 0.6233353675445311, 0.05077121178360555, 0.1729867836315171, 0.8925532552314247, 0.5012433741822814, 0.2739190305006842, 0.05761735487953801, 0.9047215452558117, 0.13015020345475026, 0.29634937220814905, 0.18574156462721203, 0.21924529969818052, 0.2065257861923, 0.9509649323955552, 0.6535890462995547, 0.06827114479000307, 0.7446925601475505, 0.5721488166620132, 0.3398585594887187, 0.45102315358289835, 0.9939748814300202, 0.26499427632225614, 0.5931033935302561, 0.9358563721197406, 0.7097680114398, 0.3211722221472926, 0.6070187954215506, 0.4448817842300966, 0.12778462796439105, 0.39464928391613907, 0.357826123921701, 0.16270045281473722, 0.44694034134132377, 0.39448835537216154, 0.10807239302863259, 0.5267087670098942, 0.11864030687467231, 0.28898777293752975, 0.5752701764407561, 0.34930464726209876, 0.15595416757531444, 0.5013374739563149, 0.7512038542653647, 0.34781296822721486, 0.8213379269160671, 0.3496749291006348, 0.8300753117519645, 0.7039632137006664, 0.7166021050519814, 0.2019097999026549, 0.884291129605738, 0.6861220110062243, 0.33791602929331277, 0.3153500369625398, 0.8249271137911006, 0.9098787750583123, 0.6844040373245893, 0.6907963033930948, 0.6092601271441458, 0.824932484445298, 0.36322653801393345, 0.7808097614693766, 0.05304958953441663, 0.5400845454548757, 0.7358817266182046, 0.14573063356970517, 0.5950130959156025, 0.8095947116776673, 0.936719026641402, 0.41855629152815665, 0.7226202318862661, 0.7589780520178808, 0.07784854857618251, 0.10844141666980789, 0.28618565638533067, 0.35414066067780925, 0.1547862608317352]"
ec97e4e8-1dee-4099-85b0-85d167c59b15,Organic Chicken Breast,Meat & Seafood,Chicken Breast,7.54,0.31,"[0.9417043537928294, 0.6468318396232176, 0.7222500817556624, 0.9993659722847484, 0.5086483414664048, 0.8209977252895516, 0.6991439182685192, 0.27122739923467154, 0.8129246849062711, 0.6576328751185484, 0.14616970200668955, 0.26388142017741767, 0.9199503830766085, 0.8266845210856465, 0.35066890723109256, 0.56600770058971, 0.996261344005333, 0.5851903102936481, 0.4616424293743997, 0.7418835191553775, 0.40091172756401494, 0.3882157217531471, 0.5918944896724281, 0.532340213442373, 0.3816320490129028, 0.3440485714149315, 0.8955845579341344, 0.5242186819083835, 0.020180392089578114, 0.33607851221242513, 0.17872671769836523, 0.44565236734627, 0.584345626497314, 0.7064605364966575, 0.17529515783802763, 0.44409436080881914, 0.2685767814271288, 0.5407691603833825, 0.5547136525560427, 0.7487027680482884, 0.9798764751648449, 0.02185785615370983, 0.5975469081063294, 0.16880485576230153, 0.2061463200879221, 0.7873463095071179, 0.7217332146864747, 0.039614617387983886, 0.3915205364867873, 0.7815382697785833, 0.6517047979793452, 0.2065582540279317, 0.17778623486972822, 0.5587642125727768, 0.16958790315030914, 0.21147569683099798, 0.22800692168604142, 0.5929178626832515, 0.45707807782864374, 0.637524228973832, 0.05515333276023371, 0.2507665075363563, 0.23260368940226306, 0.3088637268446075, 0.6264053107604023, 0.33349854521654265, 0.8931381123764949, 0.5557431772189627, 0.1462159741204797, 0.7642190631420406, 0.06335912599714388, 0.04494394553275993, 0.5862642458821115, 0.9680412859282832, 0.4099400804093488, 0.37458847410623897, 0.0638899086955057, 0.6649928312207798, 0.2616500169758287, 0.6290130230806191, 0.8221244003852408, 0.24912179219920405, 0.5557481096244876, 0.3179904521831607, 0.42573844210114176, 0.25295436867075494, 0.9530176785653565, 0.6039562387994265, 0.6189380891418108, 0.69901194054631, 0.31112057397454107, 0.38085511722968435, 0.13455953170838675, 0.4398055968273803, 0.13250386729601227, 0.6724351038115963, 0.4458161820099409, 0.10284729007705673, 0.9168388894430923, 0.28785225995833397, 0.23344670689149227, 0.07051305624114645, 0.3930133985924358, 0.35445512602561047, 0.5733499108614056, 0.6076798517321113, 0.7123466258187615, 0.7739512438625779, 0.6048425078584858, 0.4950992730788335, 0.383017443471681, 0.04305062279156857, 0.6440777821293957, 0.9544607331725539, 0.9632406832898769, 0.9937409604162447, 0.24501451385157436, 0.9877965548655282, 0.36510989781918524, 0.42617203817868043, 0.2177673074262162, 0.5387847325640048, 0.6105693892776771, 0.6221774520197705, 0.2625525443754678, 0.6254830570386835, 0.35696187519943656, 0.2723743420419178]"
c6fa1138-4ec2-4637-9504-2749bc13e06f,Organic Free-Range Eggs,Dairy & Eggs,Free-Range Eggs,22.13,0.37,"[0.4130251731715189, 0.4978944795716266, 0.5681635411076422, 0.2923970832999193, 0.7310451777383212, 0.15557258529663176, 0.45869006090021003, 0.9700109594527829, 0.0670203585272342, 0.2459730388606678, 0.9592636021126896, 0.5920486881140155, 0.7726502780196307, 0.08373970992819313, 0.2063721608582033, 0.41527316066756426, 0.5055137847005308, 0.40021408942350123, 0.6346547313664537, 0.066595295813341, 0.10344859031494635, 0.8773975707732917, 0.27499157753015346, 0.7782022602713541, 0.3089033419991113, 0.839937505920108, 0.9275705680925233, 0.9799081082358603, 0.4924024050989214, 0.650529405543503, 0.01131584018025733, 0.13892311635808396, 0.4238625945332305, 0.02484835170084243, 0.4138108623735304, 0.6814292350261423, 0.22359601883506508, 0.8708094437739436, 0.47387938704041577, 0.5019034583364494, 0.5791049733584114, 0.06420433922025603, 0.6053370767713634, 0.2341849324718498, 0.5060401429961218, 0.6537490997287174, 0.10022447985257155, 0.7287074977819673, 0.26396067769640263, 0.29029163233924715, 0.6126761167644799, 0.3893386772238917, 0.15982891950548683, 0.3097298964751476, 0.7371055023024902, 0.6441358463896515, 0.9019023698779396, 0.9765781746343055, 0.30836333357115164, 0.16519097371559377, 0.32702151024450843, 0.35809565729256676, 0.6501428347105477, 0.8388183628042413, 0.521278935955936, 0.7815602036728571, 0.8741196336185879, 0.6994516222483591, 0.16812856934892906, 0.3114712275058703, 0.6528510195892744, 0.05844518943026611, 0.4529619107530458, 0.3997815325002786, 0.2638745922205218, 0.25636049088229296, 0.13358388488942674, 0.28485246523021157, 0.29612953738448633, 0.9176265576269114, 0.21148005837539485, 0.05022402590635755, 0.014087867606509374, 0.3202498446115969, 0.2503928926473039, 0.21931424975458913, 0.6241418974180977, 0.6398294354245552, 0.07853230209732065, 0.6984861094720467, 0.847468623831627, 0.22275900101885382, 0.8677502540027326, 0.3736119323301428, 0.6981687079125788, 0.033610499731147714, 0.6238193665345042, 0.14839660390220843, 0.9263359033991573, 0.8701376896982312, 0.47347643798611927, 0.5274935397159729, 0.8305610506446895, 0.036066625044430145, 0.06434438426451317, 0.36216104853708664, 0.7463209503221693, 0.8319071911514465, 0.41554165313403846, 0.2503488828500613, 0.8454054029868056, 0.6537539255061323, 0.40211999100177076, 0.04103532954583844, 0.7560006635409257, 0.7490180005482784, 0.20361535010882548, 0.18570383180503314, 0.8262446469673017, 0.05626862494780027, 0.3820983640592083, 0.4980886379712738, 0.8792933130238134, 0.16526696361974236, 0.2813535594989266, 0.8437268970310161, 0.22401464241934077, 0.8242745990538948]"
372ded30-38b9-4299-bf0d-124cb3f95d09,Fresh Oat Milk,Dairy & Eggs,Oat Milk,2.77,0.16,"[0.7266176482750656, 0.2875872986537421, 0.09462523849833293, 0.40868100041651223, 0.34483145078950606, 0.2684806080905402, 0.09144140652215971, 0.19583105932433686, 0.8292729926691123, 0.6111720553868604, 0.6140625436742334, 0.5916469865360396, 0.6961483856699369, 0.7275105210113676, 0.8100112545727881, 0.5277231739903298, 0.028251768164109792, 0.4116506230802597, 0.18022939789792902, 0.35536543338891025, 0.24484212531281402, 0.4311634617609694, 0.6456113994934376, 0.4018408597560461, 0.20678281510499485, 0.44507070729625686, 0.9380596121116536, 0.726530429509627, 0.27903819578558464, 0.5521937766571349, 0.8552170607527202, 0.9145907265227984, 0.1298721447534663, 0.21644945352340983, 0.07558063202702991, 0.06653869603358487, 0.984488552770195, 0.8171254992568167, 0.30976250161048324, 0.5466398174149345, 0.5970347996667565, 0.8808084813059875, 0.6795203151939597, 0.18466764236963717, 0.3593228625085838, 0.31693184544406694, 0.916688227515378, 0.6786950390957095, 0.06970388257291382, 0.3922159981166119, 0.9737256152511184, 0.6464795220699436, 0.01207728033296307, 0.14795449987517217, 0.19927516964477865, 0.5178142626394712, 0.8343441264962842, 0.21968063720854858, 0.3563612429281299, 0.7849340919548932, 0.5353036569239019, 0.08668524052025472, 0.3983715754671513, 0.011484427118954477, 0.2770506270182327, 0.05299887951529092, 0.9660679005163265, 0.7431700357978668, 0.4610674528872526, 0.9925759718203426, 0.24943696270212024, 0.5592682284915527, 0.5941235957720453, 0.6923466534454, 0.9015083053341751, 0.2566242506370705, 0.9621742797245072, 0.2546480194125842, 0.540458424320836, 0.5259595389388991, 0.16404161632548486, 0.7812460918166549, 0.7482730594166704, 0.9439558969053984, 0.4551654201489763, 0.5076201795634778, 0.7779541122906196, 0.4242201927367193, 0.10042755528666614, 0.08114589714366349, 0.6396645488536901, 0.5658883714312054, 0.16845928443325175, 0.8011781488046423, 0.5735301900480956, 0.0412265571551792, 0.13486997934008138, 0.9862472854416348, 0.141422158558009, 0.24689857504223456, 0.3282614958657146, 0.4916701759873242, 0.28342302231581795, 0.4726153729035685, 0.7677127387583156, 0.797144858227609, 0.1082387048302349, 0.7046394678937034, 0.772008327261537, 0.4971010357458132, 0.23971258220680736, 0.6360496642945757, 0.5940548274487629, 0.6528508451742695, 0.5747227927965216, 0.6209615186000115, 0.4252406841138744, 0.05017956478939822, 0.04917734521934447, 0.8032401490089495, 0.2551850551525314, 0.7349786158505778, 0.9318532932043118, 0.24128018652200056, 0.20563629707060316, 0.4193962331816893, 0.9640654430638822, 0.1527578781686073]"
96164111-3295-4ecd-9696-77c13aa1e9c6,Premium Cola Soda,Beverages,Cola Soda,24.02,0.3,"[0.6695890295357202, 0.7300553594046727, 0.44378819457352425, 0.30938330480082, 0.4096300835529786, 0.10697737379120298, 0.6599450605948072, 0.9362318597153652, 0.6162930177789097, 0.29399679611715546, 0.731965323555973, 0.4632316972538949, 0.46076862932209517, 0.5692267138747198, 0.4075333365568403, 0.49994829697968757, 0.8589491682096054, 0.6439987303328526, 0.39589683481407434, 0.08972720412199986, 0.6872056760190959, 0.6925414862680538, 0.18583718032892982, 0.6204782117260824, 0.08674220848934555, 0.7708407523898064, 0.6837880048433125, 0.6626160814104272, 0.7175459316144597, 0.3827009080707682, 0.5680436155736326, 0.07092224780640799, 0.07522309875818867, 0.6146004037647415, 0.8283456669460303, 0.7262988165590465, 0.9096036293536944, 0.03019925110636401, 0.6229587659918714, 0.19676969283272616, 0.4794704951340475, 0.0689564006560549, 0.992188203039396, 0.5453686450969756, 0.07585421871824116, 0.8173835273012466, 0.4138388138805582, 0.1695531728374412, 0.8953854566799057, 0.7102433440223985, 0.5896724790521988, 0.7556848070936399, 0.47324906096346897, 0.9157952886029254, 0.06459530499210753, 0.957010631409487, 0.4552080262666377, 0.3448412262177113, 0.18115732265292728, 0.5872093829905316, 0.1718876096439783, 0.8123108406823341, 0.6375036199860318, 0.582081662078246, 0.22973555132649648, 0.4909726529172769, 0.5772349866305624, 0.8146807578730939, 0.8890165480250428, 0.20367378878645592, 0.5833080643242057, 0.252596836944593, 0.31517952454697673, 0.3948139569563246, 0.9780786064424812, 0.1813221982954074, 0.6719351752148739, 0.6666447484464587, 0.920870795157354, 0.8079977282364543, 0.07502119151482378, 0.7420230087977692, 0.5023181155421267, 0.13293587699146137, 0.03134972545035164, 0.3211417831946729, 0.795213454125363, 0.46751728730926345, 0.2190623190173172, 0.3981560897573394, 0.6983809208668598, 0.2974658191395385, 0.060819874342820435, 0.4274013715710082, 0.9956926989622585, 0.7449340524341262, 0.6481612986170048, 0.8432207369997732, 0.7553000700001894, 0.9428245095506759, 0.2631768230499244, 0.4633806282233275, 0.9214772667579427, 0.9115631675676256, 0.4109348136339016, 0.5022889673568308, 0.6176651337833259, 0.4542769159049602, 0.1294381439899691, 0.8543426075432838, 0.9426953812162892, 0.10212254179659741, 0.42740433716737436, 0.3522213638757773, 0.894849213509368, 0.13673782891605513, 0.7936127478773949, 0.6454460034052893, 0.3939959655547859, 0.7907834616744754, 0.2665797814983446, 0.3773381347061078, 0.5685382874996565, 0.9246748962289969, 0.763198486991348, 0.5851611797971872, 0.8003322568920418, 0.8861272427228575]"
37727a64-f037-49a9-bcf8-086215ecb7fd,Nature's Dish Soap,Home Care,Dish Soap,8.3,0.31,"[0.6531454438366685, 0.5761576968415363, 0.0647935971636856, 0.8169488190618909, 0.25442621902361595, 0.8351808304240347, 0.6478710011124486, 0.09620504597228152, 0.5490668935845967, 0.4231459093032919, 0.9143966502812584, 0.9733972889739056, 0.00609268657781048, 0.4889518560898575, 0.9447925757262156, 0.12167314464825585, 0.4740282134326289, 0.7624640855232475, 0.7370418874190151, 0.7031468984300057, 0.8287476514381726, 0.7124879817073143, 0.8194086064248122, 0.9553578966902546, 0.22650008467434446, 0.7004646834688263, 0.9229848544647783, 0.4313017082430399, 0.7521523417951885, 0.6341867911249642, 0.19302442585131252, 0.4311502216163048, 0.5394391384941658, 0.9801566401243675, 0.8030262215430568, 0.28968854768063224, 0.057045375040505886, 0.8167288984910729, 0.7615174610746588, 0.07112074179288519, 0.3664626314276068, 0.3648280969679365, 0.1389078794174481, 0.5515169729469986, 0.8824613562791571, 0.33008735334774275, 0.31943561560943434, 0.9024924492312828, 0.6599166733540663, 0.7088812395526161, 0.8853947164416973, 0.598386163398166, 0.3821402409798048, 0.7760441043279097, 0.1467984221458044, 0.362463003374743, 0.105035334881595, 0.23369661889546234, 0.3292470967732356, 0.06095959527309691, 0.28640284311044295, 0.22718005751878512, 0.5197027389339439, 0.012790179101408117, 0.29177193890571973, 0.938881945969708, 0.004742268768563096, 0.9914263291614246, 0.051320567758708635, 0.5057654584673228, 0.5878100390414991, 0.9681800934343588, 0.2061780863792062, 0.11734100564713612, 0.6444970925783507, 0.309124132859007, 0.12175845949846764, 0.3899893897421637, 0.7748574896376637, 0.6839751300282076, 0.3344621877479209, 0.03535407865776674, 0.9614131046801453, 0.2788217234205681, 0.08380062430859636, 0.052022836378360915, 0.9926059905940152, 0.706624267905616, 0.9537210058625039, 0.6673662108494076, 0.1429227423069539, 0.12977286620991835, 0.4653441634115917, 0.5613759197842493, 0.7133499974408929, 0.9619519396454197, 0.5569281032906138, 0.3588668687299318, 0.4994235650631921, 0.6263630724272921, 0.6105523112580477, 0.04358958323198814, 0.7313240374319947, 0.26276491227516197, 0.36192362133731126, 0.7232324383951798, 0.5299220645563082, 0.3054325920860276, 0.1676271805289613, 0.24005615642020828, 0.6397603349612254, 0.3342260392493238, 0.9854235939478377, 0.05842355438420754, 0.03329791396538884, 0.8674416171425053, 0.468488251290092, 0.5893509543010533, 0.2595996318946967, 0.44503536279507083, 0.05728354098891786, 0.8336595723745499, 0.506673688309943, 0.668307154497993, 0.7856644653010865, 0.9501060865342533, 0.5031128017168376, 0.1512254809221647]"
1cac4b7d-9687-4005-8aba-406a7a82bb35,Nature's Glass Cleaner,Home Care,Glass Cleaner,6.0,0.19,"[0.005264026675757427, 0.6064587095574979, 0.9695866628926688, 0.47336734536340297, 0.7465934593823662, 0.24972044520399872, 0.8234342343241559, 0.4382227883427645, 0.9198387407204778, 0.5159749270210451, 0.6679793043804628, 0.5604950022948268, 0.37157119350685885, 0.2883583508497034, 0.22086077779379953, 0.037032706250354486, 0.9824684917540879, 0.6161637335524704, 0.7208487939958441, 0.36983106015538547, 0.44871008900315235, 0.8697019254274517, 0.5102932160728872, 0.239687391910256, 0.6558738317703863, 0.8108009197368122, 0.5768165033131953, 0.29944771713453633, 0.7390849742810573, 0.8424958626617112, 0.38495786969523227, 0.01914572470794107, 0.025418756732533132, 0.06883601045398746, 0.6069201851947933, 0.5251930366499449, 0.8767659084133533, 0.10612051390684596, 0.611068711788766, 0.0934752840329558, 0.36270008927361386, 0.8532372886809366, 0.20548049905781984, 0.7914210411695857, 0.8464119220205474, 0.5511500056918506, 0.9753837811249276, 0.9291228647793374, 0.895775349851275, 0.29006229953194906, 0.5060282641073846, 0.772204474425975, 0.6992582527705739, 0.6068158690105292, 0.05962622834232989, 0.15394021281956138, 0.18322436708708256, 0.7434431382937219, 0.6967151306319032, 0.8061357546085759, 0.15346272165567132, 0.7446676917736849, 0.8109992458688748, 0.07606881063015603, 0.7855430935957737, 0.5999729646499669, 0.07622264031014636, 0.33328410929445873, 0.531628477086195, 0.43849054355101635, 0.008608479495344379, 0.03248254476794321, 0.259491420373261, 0.41009791787285177, 0.8758519623792046, 0.2214880530717368, 0.4559433082927724, 0.19833188091842613, 0.4265774975999298, 0.0271706774646564, 0.17444253332710125, 0.7532919498557644, 0.6194031953963555, 0.03425571202429023, 0.13558402312942552, 0.16391057919366425, 0.02515131871826415, 0.6829116483651514, 0.46183274554122256, 0.02069292456481764, 0.17519874141200642, 0.7731926218383937, 0.5575062861708834, 0.14669192392010844, 0.1984484261453805, 0.06994684414772112, 0.4019608529395454, 0.34684167082284567, 0.8807258946904727, 0.7906083811121506, 0.8678786083285592, 0.23189006101092002, 0.6497974276963933, 0.13067411274080432, 0.9529694390111392, 0.9457378903732981, 0.8709639577939434, 0.32249892917094103, 0.7135018582952104, 0.13087555467998857, 0.5682184177747196, 0.6409041313716594, 0.020567568363460298, 0.15662611918058222, 0.08823090860824379, 0.9767960571616879, 0.18893533661946327, 0.8725239006178928, 0.4979842246193732, 0.47335540284790045, 0.9985486275511863, 0.8644252116636049, 0.7833673739965714, 0.44831908837972223, 0.4138303964595328, 0.08605727469542102, 0.7509546063656952, 0.30266117081280053]"
95176c1b-f8b5-4499-af67-49f7732c6c68,Essential Fruit Snacks,Snacks,Fruit Snacks,7.14,0.3,"[0.020469833089779343, 0.6189942639954844, 0.7368650354740965, 0.03540119800050767, 0.18941404914331306, 0.21848124282195858, 0.7812663887325524, 0.4706530596784949, 0.273882582731526, 0.2066502596726374, 0.34349139023248165, 0.6044473040666883, 0.19423727106125022, 0.2550001285385568, 0.7783678101624969, 0.439475698841699, 0.7678814053238605, 0.6816953679921777, 0.13767716586980705, 0.7557794488196119, 0.5903081251428819, 0.36582790521529074, 0.807802198051502, 0.8626674834332908, 0.26213053067023706, 0.7306366485396428, 0.7294975921452865, 0.7065848749904197, 0.4110051344354151, 0.4605678516597683, 0.7626847761789972, 0.20072832417867137, 0.21137672896845572, 0.002429353105360299, 0.5386654080451804, 0.5461309463767764, 0.9629015651988662, 0.8710224234916676, 0.6584036254736705, 0.4687703636585382, 0.4047035850506687, 0.45677692579860485, 0.9070677835750643, 0.9239427063523186, 0.685177160085762, 0.7753643689164759, 0.801365013942753, 0.7947439313178599, 0.7149425923522752, 0.22244729829880794, 0.8260264929828467, 0.6041513322211596, 0.3751430278517419, 0.9192944537192486, 0.40820499952699074, 0.9434437193696356, 0.59509229408816, 0.8803764237002203, 0.17643396415027646, 0.4244257591641736, 0.23343470109305975, 0.9980910456614352, 0.3696941168933896, 0.9961443808313339, 0.11226964448691501, 0.042469321108530744, 0.12227804993974412, 0.957911614660444, 0.5583291137933465, 0.6001041764625528, 0.9094628604144416, 0.5626446834253437, 0.21099953175261876, 0.7401898576539274, 0.03911284997649456, 0.34653123827620913, 0.4487401320527765, 0.8794127264905182, 0.26881082319111715, 0.30017743016088505, 0.323991839326379, 0.665846652087693, 0.00879683818544652, 0.24235540965469438, 0.22125104958068464, 0.3890172404276212, 0.7464337740610864, 0.5312606581486774, 0.8020484201911553, 0.7689639424452653, 0.4463869154956852, 0.20893247638594759, 0.41517497654903257, 0.6439994837798645, 0.7951996171546891, 0.08736880372641898, 0.22458883371324634, 0.6569268855068574, 0.3950220845939538, 0.39002077009186187, 0.5491333648825619, 0.3038671387330446, 0.1496396858747413, 0.10104751767951914, 0.5767521436249112, 0.8166398927898164, 0.007062307453846395, 0.13433875490564684, 0.21796759792192522, 0.3484984145361899, 0.6650327373998138, 0.09027284997055973, 0.42346474218790275, 0.626828116892099, 0.31300830151273307, 0.028859185548344657, 0.2511249554356404, 0.46111818633255375, 0.7896553410323605, 0.986074965594861, 0.8973993769618002, 0.44405749387978755, 0.3719593609885772, 0.32850864764483334, 0.8763368492052471, 0.17589522628646947, 0.08331326373938353, 0.1896239848039265]"
